content,intensity,clean_content,length
"Forget who hurt you yesterday, but don't forget who loves you tenderly today.",sadness,forget hurt yesterday forget loves tenderly today,7
"Getting hurt doesnt make me stupid. It means i have enough hope and enough love in my heart, to always think the best of people.",sadness,getting hurt doesnt make stupid means enough hope enough love heart always think best people,15
The only ones that can truly hurt you deeply are the ones you love.,sadness,ones truly hurt deeply ones love,6
Nothing hurts more than realizing he was everything to you and you were nothing.,sadness,nothing hurts realizing everything nothing,5
"What hurts you today, makes you stronger tomorrow.",sadness,hurts today makes stronger tomorrow,5
"The hardest thing to do is watch the one you love , love someone else. ",sadness,hardest thing watch one love love someone else,8
one day you`ll realize...all the love that i gave to you...is now being given to someone else ,sadness,one day realize love gave given someone else,8
Silent people have the greatest heart.,sadness,silent people greatest heart,4
"When you're happy, you enjoy the music But when you're sad, you understand lyrics.",sadness,happy enjoy music sad understand lyrics,6
I get jealous because I am afraid someone is going to make you happier than I do.,sadness,get jealous afraid someone going make happier,7
Sometimes you need to run away just to see who will follow you.,sadness,sometimes need run away see follow,6
"If you a girl make laugh she likes you, but if you make her cry, she loves you.",sadness,girl make laugh likes make cry loves,7
Your emotions trouble you only in those things which you call yours.,sadness,emotions trouble things call,4
"When you can tell your story and it doesn’t make you cry, that’s when you know you’ve healed.",sadness,tell story make cry know healed,6
"Never assume that someone likes you by their sweetness. Sometimes, you're just an option when they're bored.",sadness,never assume someone likes sweetness sometimes option bored,8
You aren't worthy of her silence if you can't respect her feelings.,sadness,worthy silence respect feelings,4
We all get addicted to something that takes away the pain.,sadness,get addicted something takes away pain,6
"Dear Feelings, i need you to move on.",sadness,dear feelings need move,4
No one stays with you permanently so learn to survive alone.,sadness,one stays permanently learn survive alone,6
"''Never search your happiness in other , it will makes you feel none search it in yourself you will feel happy even when you are left alone''",sadness,never search happiness makes feel none search feel happy even left alone,12
i wish i could ignore you the way you ignore me.,sadness,wish could ignore way ignore,5
I understand why you left But what i dont understand why im still waiting for you?,sadness,understand left dont understand im still waiting,7
Sometimes you just have to stay silent because no words can explain what’s going on in your mind and heart.,sadness,sometimes stay silent words explain going mind heart,8
I feel so alone sometimes.,sadness,feel alone sometimes,3
"If you don't want me , don't mess with my feelings .",sadness,want mess feelings,3
Never depend on others too much because someday you will have to walk alone.,sadness,never depend others much someday walk alone,7
It’s hard to forget someone who gave you so much to remember.,sadness,hard forget someone gave much remember,6
Its better to just quietly miss someone rather than let them know and just get no response.,sadness,better quietly miss someone rather let know get response,9
"There are Billions of people in this world, but sometimes you really need just one.",sadness,billions people world sometimes really need one,7
I never feel alone bcz loneliness is always with me,sadness,never feel alone bcz loneliness always,6
"Sometimes i pretend that i dont care. But really, i care more than anyone else ever will.",sadness,sometimes pretend dont care really care anyone else ever,9
"No matter how hard you try, Some people will never change.",sadness,matter hard try people never change,6
I’m the type of girl who smiles to make everyone’s day. Even though I’m dying inside.,sadness,type girl smiles make everyone day even though dying inside,10
I hate seeing you because you bring back the feelings I tried so hard to forget.,sadness,hate seeing bring back feelings tried hard forget,8
When You Sit Alone ...You Sit With Your Past ... :(,sadness,sit alone sit past,4
i am scared of getting too close to anyone because those who said that they will always be there for me.,sadness,scared getting close anyone said always,6
People who are always Online are the Loneliest ...Agree.?,sadness,people always online loneliest agree,5
"I dont care who was before me, as long as I know there is nobody during me.",sadness,dont care long know nobody,5
"I Hope you will always Remember all the great memories we Created, Because i will.",sadness,hope always remember great memories created,6
We may Forget the person but memories stay there forever ,sadness,may forget person memories stay forever,6
Just because we are not close anymore doesn’t mean I dont care about you.,sadness,close anymore mean dont care,5
"Missing someone is a part of loving them, if you are never apart then you will never know how strong your love really is.",sadness,missing someone part loving never apart never know strong love really,11
Loneliness is better than a bad company.,sadness,loneliness better bad company,4
"“You told me I was perfect, but you still left. I should have known my perfect wouldn’t be good enough.”",sadness,told perfect still left known perfect good enough,8
Dont cry over someone who wouldnt cry over you.,sadness,dont cry someone wouldnt cry,5
"When she ignores you, thats when you need to talk to her the most.",sadness,ignores thats need talk,4
Sorry isn’t always enough. Sometimes you actually have to change.,sadness,sorry always enough sometimes actually change,6
"Once upon a time, I was stupid enough to fall in love with you.",sadness,upon time stupid enough fall love,6
Walking with a friend in the dark is better than walking alone in the light.,sadness,walking friend dark better walking alone light,7
"Every time you ignore me, i regret every text message that i have ever sent you.",sadness,every time ignore regret every text message ever sent,9
Sometimes I hate getting close to people because I think they will just walk out of my life no matter how close we are.,sadness,sometimes hate getting close people think walk life matter close,10
"Some days I cant stop thinking about you, and other days I wonder why I am wasting my time.",sadness,days cant stop thinking days wonder wasting time,8
Some things will never go back to the way they used to be. No matter how much you miss them.,sadness,things never go back way used matter much miss,9
"Dear Feelings, i need you to move on.",sadness,dear feelings need move,4
No one stays with you permanently so learn to survive alone.,sadness,one stays permanently learn survive alone,6
"''Never search your happiness in other , it will makes you feel none search it in yourself you will feel happy even when you are left alone''",sadness,never search happiness makes feel none search feel happy even left alone,12
i wish i could ignore you the way you ignore me.,sadness,wish could ignore way ignore,5
I understand why you left But what i dont understand why im still waiting for you?,sadness,understand left dont understand im still waiting,7
Sometimes you just have to stay silent because no words can explain what’s going on in your mind and heart.,sadness,sometimes stay silent words explain going mind heart,8
I feel so alone sometimes.,sadness,feel alone sometimes,3
"If you don't want me , don't mess with my feelings .",sadness,want mess feelings,3
Never depend on others too much because someday you will have to walk alone.,sadness,never depend others much someday walk alone,7
It’s hard to forget someone who gave you so much to remember.,sadness,hard forget someone gave much remember,6
Its better to just quietly miss someone rather than let them know and just get no response.,sadness,better quietly miss someone rather let know get response,9
"There are Billions of people in this world, but sometimes you really need just one.",sadness,billions people world sometimes really need one,7
I never feel alone bcz loneliness is always with me,sadness,never feel alone bcz loneliness always,6
"Sometimes i pretend that i dont care. But really, i care more than anyone else ever will.",sadness,sometimes pretend dont care really care anyone else ever,9
"No matter how hard you try, Some people will never change.",sadness,matter hard try people never change,6
I’m the type of girl who smiles to make everyone’s day. Even though I’m dying inside.,sadness,type girl smiles make everyone day even though dying inside,10
I hate seeing you because you bring back the feelings I tried so hard to forget.,sadness,hate seeing bring back feelings tried hard forget,8
When You Sit Alone ...You Sit With Your Past ... :(,sadness,sit alone sit past,4
i am scared of getting too close to anyone because those who said that they will always be there for me.,sadness,scared getting close anyone said always,6
People who are always Online are the Loneliest ...Agree.?,sadness,people always online loneliest agree,5
"I dont care who was before me, as long as I know there is nobody during me.",sadness,dont care long know nobody,5
"I Hope you will always Remember all the great memories we Created, Because i will.",sadness,hope always remember great memories created,6
We may Forget the person but memories stay there forever ,sadness,may forget person memories stay forever,6
Just because we are not close anymore doesn’t mean I dont care about you.,sadness,close anymore mean dont care,5
"Missing someone is a part of loving them, if you are never apart then you will never know how strong your love really is.",sadness,missing someone part loving never apart never know strong love really,11
Loneliness is better than a bad company.,sadness,loneliness better bad company,4
"“You told me I was perfect, but you still left. I should have known my perfect wouldn’t be good enough.”",sadness,told perfect still left known perfect good enough,8
Dont cry over someone who wouldnt cry over you.,sadness,dont cry someone wouldnt cry,5
"When she ignores you, thats when you need to talk to her the most.",sadness,ignores thats need talk,4
Sorry isn’t always enough. Sometimes you actually have to change.,sadness,sorry always enough sometimes actually change,6
"Once upon a time, I was stupid enough to fall in love with you.",sadness,upon time stupid enough fall love,6
Walking with a friend in the dark is better than walking alone in the light.,sadness,walking friend dark better walking alone light,7
"Every time you ignore me, i regret every text message that i have ever sent you.",sadness,every time ignore regret every text message ever sent,9
Sometimes I hate getting close to people because I think they will just walk out of my life no matter how close we are.,sadness,sometimes hate getting close people think walk life matter close,10
"Some days I cant stop thinking about you, and other days I wonder why I am wasting my time.",sadness,days cant stop thinking days wonder wasting time,8
Some things will never go back to the way they used to be. No matter how much you miss them.,sadness,things never go back way used matter much miss,9
Cheating is a choice not a mistake.,sadness,cheating choice mistake,3
"People always cheated me,because I loved them like mad…",sadness,people always cheated loved like mad,6
I just want an honest relationship. No lies. No mind games. No cheating.,sadness,want honest relationship lies mind games cheating,7
"Alphabets in ""TEACHING"" & ""CHEATING"" are common.. Those who try 2 'Cheat' u often 'Teach'...",sadness,alphabets teaching cheating common try 2 cheat u often teach,10
"I don't understand why people cheat, if you're not happy, just leave.",sadness,understand people cheat happy leave,5
"if you are in a relationship, flirting is cheating.",sadness,relationship flirting cheating,3
"People don't cheat by chance, they cheat by choice.",sadness,people cheat chance cheat choice,5
"Once a cheater, always a repeater. ",sadness,cheater always repeater,3
"Once a cheater always a cheater, they can never be trusted again.",sadness,cheater always cheater never trusted,5
"Cheating isnt always kissing, touching, or flirting. If you gotta delete text messages so your partner wont seem them, you are already there.",sadness,cheating isnt always kissing touching flirting gotta delete text messages partner wont seem already,14
"Cheating is easy. Try something hard, like being committed.",sadness,cheating easy try something hard like committed,7
"Don't lie, don't cheat, and dont make promises you can't keep.",sadness,lie cheat dont make promises keep,6
"If you honest and frank,people may cheat you.Be honest and frank anyway.",sadness,honest frank people may cheat honest frank anyway,8
There is no excuse for cheating in a relationship.,sadness,excuse cheating relationship,3
If you are not interested then don't cheat him.. Better leave him,sadness,interested cheat better leave,4
Its not cheating unless you get caught.,sadness,cheating unless get caught,4
If you are in a relationship. Flirting is CHEATING.,sadness,relationship flirting cheating,3
Cheaters think everyone cheats. Liars think everyone lies. Keep this in mind.,sadness,cheaters think everyone cheats liars think everyone lies keep mind,10
"If you had enough time to cheat, you had enough time to think about it.",sadness,enough time cheat enough time think,6
Don't cry over someone that won't cry over you.,sadness,cry someone cry,3
"Cheating is choice , not a mistake .",sadness,cheating choice mistake,3
"['You Hurt Me But I Still Love You.', 'True Love Isn’T Found. It’S Built.', 'My Silence Is Just Another Word For Pain.', 'You Killed What Was Left Of The Good In Me.', 'I Wish I Could Ignore You Like You Ignore Me.', 'Sometimes All You Need Is One Person Who Cares.', 'Sometimes All You Need Is One Person Who Cares.', 'I’M That Person Everyone Replaces After A While.\xa0( Sad Whatsapp Status\xa0', 'I Don’T Care For The People, Who Don’T Care For Me.', 'No Beauty Shines Brighter Than That Of A Good Heart.', 'If You Give Up On Me, I’M Going To Give Up On Me Too.', 'I’Ve Been Sad For Years. Don’T Tell Me It Gets Better.', 'Behind My Smile Is Everything You’Ll Never Understand.', 'I Stay Home Alone, Listen To Music And Think Too Much.', 'The Worst Kind Of Sad Is Not Being Able To Explain Why.', 'Tears Are Words Too Painful For A Broken Heart To Speak.', 'I Like To Be Alone. But I Would Rather Be Alone With You.', 'I Say I Don’T Care Anymore, But Truth Is I Care Too Much. ( Sad Quotes\xa0', 'No Matter How Far You Are, You Are Always In My Thoughts.', 'I Say I Don’T Care Anymore, But Truth Is I Care Too Much.', 'I Am Tired Of Fightin. For Once, I Want To Be Fought For.', 'I Hope You’Ll Realize How Much You’Re Hurting Me Some Day.', 'Every Time I Trust Somebody, They Show Me Why I Shouldn’T.', 'I Really Need To Stop Being So Emotional About Everything.', 'The Root Of Disappointment Comes From Holding Expectation. ( Sad Whatsapp Status\xa0', 'It Hurts To Let Go, But Sometimes It Hurts More To Hold On.', 'I Miss The The Time When I Actually Meant Something To You.', 'I Wanted To Text You But I Remembered We Don’T Talk Anymore.', 'I Wanted To Text You. But I Remembered We Don’T Talk Anymore.', 'Oh, I’M Sorry. I Forgot. I Only Exist When You Need Something.', 'Smiling Has Always Been Easier Than Explaining Why You’Re Sad.', 'I Wish My Brain Had A Map To Tell Me Where My Heart Should Go.', 'Its So Hard To Pretend Not To Love A Person When You Really Do.', 'Love Sometimes Comes Like A Dream And Leaves Likes A Nightmare. ( Sad Status for Whatsapp\xa0', 'Sometimes It Takes Losing Something Realize To What You’Ve Had.', 'I Feel Like I’ Waiting For Something That Isn’T Going To Happen.', 'It’S Not That I Wanna Have It, It’S Just That I Wanna Deserve It.', 'Trust Is Like Papers. Once It’S Crumpled It Can’T Be Perfect Again.', 'It’S Sad How Most People Become Who They Promised They’D Never Be !', 'Even When I’M Hurting So Bad Inside, I’Ll Still Smile & Say I’M Fine.', 'Wanted By Many, Taken By None, Talking To Some, Just Waiting For One.', 'When People Treat You Like They Don’T Care, Believe Them. They Don’T.', 'Every Birth Is Paid By Death & Every Happiness Is Paid By Unhappiness. ( Sad Whatsapp Status\xa0', 'You Know That Nothing Will Change, But For Some Reason You Still Wait.', 'Sick Of Crying, Tired Of Trying, Yes I’M Smiling But Inside I’M Dying.', 'There’S Nothing More Depressing Than Having It All & Still Feeling Sad.', 'Technically, I Am Single. But My Heart Is Taken By Someone I Can;T Have.', 'Love The Hearts That Hurts You, But Never Hurt The Heart That Loves You.', 'A Relationship Is Only For Two, But Some Bitches Don’T Know How To Count.', 'Use Your Smile To Change The World. Don’T Let The World Change Your Smile.', 'You May Not Be Pushing Me Away But You’Re Not Fighting To Keep Me Either.', 'There Is Nothing More Depressing Than Having It All And Still Feeling Sad.', 'Nobody Deserves Your Tears, But Whoever Deserves Them Will Not Make You Cry.', 'Sick Of Crying, Tired Of Trying, Yes I’M Still Smiling But Inside I’M Dying. ( Sad Quotes\xa0', 'Find Someone Who Knows That You’Re Not Perfect But Treats You As If You Are.', 'The Word Happiness Would Lose Its Meaning If It Were Not Balanced By Sadness.', 'And Sometimes You Just Have Forget About That Person You Once Loved & Move On.', 'Worst Kind Of Pain Is When You’Re Smiling Just To Stop The Tears From Falling.', 'It’S Never The Tears That Measure The Pain, Sometimes Its Take Smile We Fake.', 'I Feel Like A Balloon…Looking Bright & Cheerful, But Empty And Lonely Inside.', 'Isn’T It Sad When You Get Hurt So Much, You Can Finally Say ” I’M Used To It “.', 'The Toughest Part Of Letting Go Is Realizing That The Other Person Already Did.', 'I Keep Myself Busy With Things I Do But Every time I Pause, I Still Think Of You.', 'You Lose Yourself Trying To Hold On To Someone Who Doesn’t Care About Losing You.', 'And Sometimes You Just Have To Forget About That Person You Once Loved & Move On.', 'At Least, Tell A Lie That You Love Me, I Will Live The Rest Of My Life With That. ( Sad Status for Whatsapp\xa0', 'People Cry Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.', 'You Touched My Heart With A Thousand Pleasures And Broke It In To Million Pieces.', 'I Know They Say That First Love Is The Sweetest But That First Cut Is The Deepest.', 'It’S Not Always The Tears That Measure The Pain. Sometimes It’S The Smile We Fake.', 'The Worst Kind Of Pain Is When You’Re Smiling Just To Stop The Tears From Falling.', 'I’M Not Upset That You Lied To Me, I’M Upset That From Now On I Can’T Believe You.', 'People Cry, Not Because They’Re Weak. Its Because They’ve Been Strong For Too Long.', 'When You Truly Love Someone You Given Everything You Can And Never Expect A Return. ( Sad Whatsapp Status\xa0', 'It’S Sad When You Realize You Aren’T As Important To Someone As You Thought You Are.', 'I Did The Searching And Remembering. He/She Did The Disappearing And The Forgetting.', 'When I Cry About One Thing, I End Up Crying About Everything That’S Messed Up My Life.', 'Even If We Can’T Be Together In The End, I Am Still Glad You Were A Part Of My Life.', 'People Leave Because It’S Easier To Walk Away Than To Fight For What They Really Want.', 'Everything is\xa0Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.', 'Every Thought Is A Battle, Every Breath Is A War And I Don’T Think I’M Winning Anymore.', 'Nothing Hurts More Than Realizing He Meant Everything To You & You Meant Nothing To Him.', 'Everything’S Complicated, Even Those Things That Seem Flat In Their Bleakness Or Sadness.', 'Moving On . Sound Easy. But I Died Thousand Times In Pain Just To Appreciate This Phrase.', 'Yeah She’S Smiling But Don’T Let That Fool You. Look Into Her Eyes. Shes Breaking Inside. ( Sad Quotes\xa0', 'I Was Playing Back A Thousand Memories Baby, Thinking About Everything We’Ve Been Through.', 'Words But Deeper Than Knives. A Knife Can Be Pulled Out, Words Are Embedded Into Out Soul.', 'Yeah. She’S Smiling But Don’T Let That Fool You. Look Into Her Eyes. She’S Breaking Inside.', 'It Doesn’T Matter Who Hurt You Or Broke You Down. What Matters Is Who Made You Smile Again.', 'I Don’T Know Why They Call It Heartbreak. It Feels Like Every Part Of My Body Is Broken Too.', 'People Change For Two Reason : They Have Learned A Lot Or They Have Been Hurt Too Many Times. ( Sad Whatsapp Status\xa0', 'Sometimes The Girl Who’S Always Been There For Everyone Else. Need Someone To Be There For Her.', 'Everyone Want Happiness, No One Wants Pain, But You Can’T Make A Rainbow Without A Little Rain.', 'There Are So Many Things That Make You Happy. Don’T Focus Too Much On Things That Make You Sad.', 'Heavy Hearts, Like Heavy Clouds In The Sky, Are Best Relieved By The Letting Of A Little Water. (Sad Whatsapp Status\xa0', 'Never Expect Things To Be Happen, Because It Better To Feel Surprised Than To Feel Disappointed.', 'Pain Is The Only Thing That Makes Me Feel Alive.I Will Never Be Good Enough For You. I Got That.', 'It Hurts The Most When The Person Who Made You Feel So Special Makes You Feel So Unwanted Today.', 'Letting Go Doesn’T Mean You’Ve Stopped Caring, It Means You Stopped Trying To Force Someone Too.', 'I Think I’M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens.', 'The Worst Person To Be Around Is Someone Who Complains About Everything And Appreciates Nothing.', 'The Saddest People I’Ve Ever Met In Life Are The Ones Who Don’T Care Deeply About Anything At All.', 'Smile. It’S Easier Than Explaining Why You Re Sad.I Don’T Think You Know What You Are Doing To Me.', 'I Hate The Fact That You Ignore Me For So Long Then You Start Talking To Me Like Nothing Happened. ( Sad Status for Whatsapp\xa0', 'I Think I’M Afraid To Be Happy Because Whenever I Do Get Too Happy, Something Bad Always Happens.', 'Sometimes You Got To Accept The Fact That Certain Things Will Never Go Back To How They Used To Be.', 'The Moment When You Burst Out Crying In You Room & You Realize That No One Know How Unhappy You Are.', 'The People Experiencing The Most Pain Tend To Be The Ones Who Are Always Trying To Make Others Smile.', 'I Will Always Care For You, Even If We’Re Not Together & Even If We’Re Far, Far Away From Each Other.', 'Waiting Is Painful, Forgetting Is Painful. But Not Knowing Which To Do Is The Worse Kind Of Suffering.', 'Crying Is The Only Way Your Eyes Speak When Your Mouth Can’T Explain How Things Made Your Heart Break.', 'Eight Letters, Three Words, One Regret, I Miss You.I Stay Home Alone, Listen To Music & Think Too Much.', 'I Will Always Care For You, Even If We’Re Not Together And Even If We’Re Far, Far Away From Each Other. ( Sad Whatsapp Status\xa0', 'Sometimes, Crying Is The Only Way Your Eyes Speak When You Mouth Can’T Explain How Broken Your Heart Is.', 'I Didn’T Lose You, You Lost Me. You’Ll Search For Me Inside Of Everyone You’Re With And I Won’T Be Found.', 'A Breakup Is Like A Broken Mirror. Its Better To Leave It Than Hurt Yourself Trying To Pick Up The Pieces.', 'So I Guess It Ends Here. We Will Go Out Separate Ways & Hope That We’Ll See Each Other Somewhere In Future.', 'If You Can Learn From The Worst Times Of Your Life, You’Ll Be Ready To Go Into The Best Times Of Your Life. ( Sad Whatsapp Status\xa0', 'Cry As Much As You Want To, But Just Make Sure When You’Re Finished, You Never Cry For The Same Reason Again.', 'I’M Sorry. I Tried Being Prefect. But Its Just Not Me.I Have Been Sad For Years. Don’T Tell Me It Gets Better.', 'I Have A Habit Of Falling Too Hard And Falling Too Fast, And Getting My Hopes Up For Something I Know Won’T Last.', 'Sometimes When I Say ” I Am Okay ” I Want Someone Too Look Me In The Eyes, Hug Me Tight & Say ” I Know You’Re Not “.', 'You Treat Me Like Shit For No Reason, Yet I M Still In Love With You. Stop Breaking My Heart. I Just Want To Love You.', 'Sometimes I Don’T Tell People What’S Wrong Because Most Of The Time They’Re Just Being Curious. Not Because They Care.', 'I Am Fighting Alone & Being Depressed Is An Everyday Fight. I Am Tired Of Being Sad Now. Trust….Nothing Feels Right.', 'One Get Used To Being Alone, But It’S Enough To Break It For A Day & You Have To Get Used To It Again From The Beginning.', 'You Can’T Control Everything That Happens To You, But You Can Control How You React To The Things That Are Out Of Your Control.', 'The Loneliest Moment In Someone’S Life Is When They Are Watching Their Whole World Fall Apart, And All They Do Is Stare Blankly. ( Sad Status\xa0', 'Apologizing Doesn’T Always Mean You’Re Wrong & The Other Person Is Right. It Means You Value Your Relationship More Than You Ego.', 'The Pain Is Not On The Day Of Missing Our Dear Ones. The Pain Is Really When You Love Without Them & With Their Presence In Your Mind.\xa0(\xa0Sad Quotes', 'You’Re The First Person Who Broke My Heart. For The Rest Of My Life, You Will Always Be The On Who Hurt Me The Most. Don’T Forget That.', 'Have You Ever Noticed That The More Special You Treat Someone, The More That Someone Takes You For Granted ? As If You Won’T Ever Change.', 'Expression Of Eyes ? Can Be Read ? By Everyone…But Depression Of Heart Can Be Read ? Only By Best One…Care For Everyone But Don’T Lose The Best One.', '']",sadness,,1
